NAME                         VERSION                            TYPE                    
RAR decompression library    3.93.0                             dotnet  (+1 duplicate)   
Simple Launcher              1.1.0.14                           dotnet  (+5 duplicates)  
adduser                      3.137ubuntu1                       deb                      
apprise                      1.9.2                              python                   
apscheduler                  3.11.0                             python                   
apt                          2.7.14build2                       deb                      
apt-utils                    2.7.14build2                       deb                      
autocommand                  2.2.2                              python  (+1 duplicate)   
backports-tarfile            1.2.0                              python                   
base-files                   13ubuntu10.1                       deb                      
base-passwd                  3.6.3build1                        deb                      
bash                         5.2.21-2ubuntu4                    deb                      
beautifulsoup4               4.12.3                             python                   
bs4                          0.0.2                              python                   
bsdutils                     1:2.39.3-9ubuntu6.1                deb                      
ca-certificates              20240203                           deb                      
catatonit                    0.1.7-1                            deb                      
certifi                      2024.12.14                         python                   
cffi                         1.17.1                             python                   
chardet                      5.2.0                              python                   
charset-normalizer           3.4.1                              python                   
cheroot                      10.0.1                             python                   
cherrypy                     18.10.0                            python                   
cherrypy-cors                1.7.0                              python                   
click                        8.1.8                              python                   
coreutils                    9.4-3ubuntu6                       deb                      
cron                         3.0pl1-184ubuntu2                  deb                      
cron-daemon-common           3.0pl1-184ubuntu2                  deb                      
cryptography                 44.0.0                             python                   
curl                         8.5.0-2ubuntu10.6                  deb                      
dash                         0.5.12-6ubuntu5                    deb                      
dbus                         1.14.10-4ubuntu4.1                 deb                      
dbus-bin                     1.14.10-4ubuntu4.1                 deb                      
dbus-daemon                  1.14.10-4ubuntu4.1                 deb                      
dbus-session-bus-common      1.14.10-4ubuntu4.1                 deb                      
dbus-system-bus-common       1.14.10-4ubuntu4.1                 deb                      
debconf                      1.5.86ubuntu1                      deb                      
debianutils                  5.17build1                         deb                      
deluge-client                1.10.2                             python                   
diffutils                    1:3.10-1build1                     deb                      
dirmngr                      2.4.4-2ubuntu17                    deb                      
dpkg                         1.22.6ubuntu6.1                    deb                      
e2fsprogs                    1.47.0-2.4~exp1ubuntu4.1           deb                      
findutils                    4.9.0-5build1                      deb                      
fontconfig-config            2.15.0-1.1ubuntu2                  deb                      
fonts-dejavu-core            2.37-8                             deb                      
fonts-dejavu-mono            2.37-8                             deb                      
fonts-droid-fallback         1:6.0.1r16-1.1build1               deb                      
fonts-noto-mono              20201225-2                         deb                      
fonts-urw-base35             20200910-8                         deb                      
gcc-14-base                  14.2.0-4ubuntu2~24.04              deb                      
ghostscript                  10.02.1~dfsg1-0ubuntu7.4           deb                      
gnupg                        2.4.4-2ubuntu17                    deb                      
gnupg-l10n                   2.4.4-2ubuntu17                    deb                      
gnupg-utils                  2.4.4-2ubuntu17                    deb                      
gpg                          2.4.4-2ubuntu17                    deb                      
gpg-agent                    2.4.4-2ubuntu17                    deb                      
gpg-wks-client               2.4.4-2ubuntu17                    deb                      
gpgconf                      2.4.4-2ubuntu17                    deb                      
gpgsm                        2.4.4-2ubuntu17                    deb                      
gpgv                         2.4.4-2ubuntu17                    deb                      
grep                         3.11-4build1                       deb                      
gzip                         1.12-1ubuntu3                      deb                      
hostname                     3.23+nmu2ubuntu2                   deb                      
html5lib                     1.1                                python                   
